,tweet,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
0, dan  jawaban nya min mainnakerpresidensiggindonesiaewgindonesia,"['dan', 'jawaban', 'nya', 'min', 'mainnakerpresidensiggindonesiaewgindonesia']","['min', 'mainnakerpresidensiggindonesiaewgindonesia']","['min', 'mainnakerpresidensiggindonesiaewgindonesia']"
1,ayo siapa yang takut amerika rusia ketemuan di bali gindonesia hebatnya bu da,"['ayo', 'siapa', 'yang', 'takut', 'amerika', 'rusia', 'ketemuan', 'di', 'bali', 'gindonesia', 'hebatnya', 'bu', 'da']","['ayo', 'takut', 'amerika', 'rusia', 'ketemuan', 'bali', 'gindonesia', 'hebatnya', 'bu', 'da']","['ayo', 'takut', 'amerika', 'rusia', 'ketemu', 'bal', 'gindonesia', 'hebat', 'bu', 'da']"
2,gerakan nasional literasi digital digital talent scholarship digital leadership academy program kartu prakerjalpsi,"['gerakan', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']","['gerakan', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']","['gera', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']"
3,indonesia indonesiajuara indonesiahebatindonesiadamai,"['indonesia', 'indonesiajuara', 'indonesiahebatindonesiadamai']","['indonesia', 'indonesiajuara', 'indonesiahebatindonesiadamai']","['indonesia', 'indonesiajuara', 'indonesiahebatindonesiadamai']"
4,keren bangetmas memtri dengan program merdeka belajarnyagindonesia presidensiindonesia,"['keren', 'bangetmas', 'memtri', 'dengan', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']","['keren', 'bangetmas', 'memtri', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']","['keren', 'bangetmas', 'memtri', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']"
5,konsumen konsumen industri dan rumah tangga perlu segera diberdayakan menjadi koperasi koperasi,"['konsumen', 'konsumen', 'industri', 'dan', 'rumah', 'tangga', 'perlu', 'segera', 'diberdayakan', 'menjadi', 'koperasi', 'koperasi']","['konsumen', 'konsumen', 'industri', 'rumah', 'tangga', 'diberdayakan', 'koperasi', 'koperasi']","['konsumen', 'konsumen', 'industri', 'rumah', 'tangga', 'daya', 'koperasi', 'koperasi']"
6,lapor pak bisanya cewe sekarang bego bencong joget malah disuka mendingan pada doa perang mau ,"['lapor', 'pak', 'bisanya', 'cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'disuka', 'mendingan', 'pada', 'doa', 'perang', 'mau']","['lapor', 'bisanya', 'cewe', 'bego', 'bencong', 'joget', 'disuka', 'mendingan', 'doa', 'perang']","['lapor', 'bisa', 'cewe', 'bego', 'bencong', 'joget', 'suka', 'mending', 'doa', 'perang']"
7,pak yth kami perencana koperasi memastikan bahwa core values bagi ,"['pak', 'yth', 'kami', 'perencana', 'koperasi', 'memastikan', 'bahwa', 'core', 'values', 'bagi']","['yth', 'perencana', 'koperasi', 'core', 'values']","['yth', 'rencana', 'koperasi', 'core', 'values']"
8,sepertinya di bali saat gindonesiaakan ada keputusan dari yang bisa,"['sepertinya', 'di', 'bali', 'saat', 'gindonesiaakan', 'ada', 'keputusan', 'dari', 'yang', 'bisa']","['bali', 'gindonesiaakan', 'keputusan']","['bal', 'gindonesiaakan', 'putus']"
9,cewe ga jelas bencong joget malah diteriakin mendingan pada doa perang mau datang di event  di,"['cewe', 'ga', 'jelas', 'bencong', 'joget', 'malah', 'diteriakin', 'mendingan', 'pada', 'doa', 'perang', 'mau', 'datang', 'di', 'event', 'di']","['cewe', 'bencong', 'joget', 'diteriakin', 'mendingan', 'doa', 'perang', 'event']","['cewe', 'bencong', 'joget', 'diteriakin', 'mending', 'doa', 'perang', 'event']"
10,cewe sekarang bego bencong joget malah disuka mendingan pada doa perang mau datang di event ,"['cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'disuka', 'mendingan', 'pada', 'doa', 'perang', 'mau', 'datang', 'di', 'event']","['cewe', 'bego', 'bencong', 'joget', 'disuka', 'mendingan', 'doa', 'perang', 'event']","['cewe', 'bego', 'bencong', 'joget', 'suka', 'mending', 'doa', 'perang', 'event']"
11,cewe sekarang bego bencong joget malah ditonton ya mendingan pada doa perang mau datang di event,"['cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'ditonton', 'ya', 'mendingan', 'pada', 'doa', 'perang', 'mau', 'datang', 'di', 'event']","['cewe', 'bego', 'bencong', 'joget', 'ditonton', 'mendingan', 'doa', 'perang', 'event']","['cewe', 'bego', 'bencong', 'joget', 'tonton', 'mending', 'doa', 'perang', 'event']"
